C = C C = C . C c 1 c c c ( C ) c c 1 > A_CCCCCCC,C = C C ( C ) C c 1 c c c ( C ) c c 1
C c 1 c c c ( C ) c ( O ) c 1 C . O >,C C 1 = C C ( = O ) C ( C ) = C ( C ) C 1 = O
C C C C C C ( = O ) / C = C / Br > A_[Na+] A_CCO,C C C C C C ( O ) / C = C / Br
C C C C C C ( = O ) / C = C / Br > A_[Na+] A_CCO,C C C C C C ( O ) / C = C / Br
C # C C ( C C C C C ) O C . I I > A_[Na+] A_[OH-],C C C C C C ( / C = C / I ) O C
N N . N c 1 n c 2 c ( Cl ) c c c c 2 s 1 > A_O,N N c 1 n c 2 c ( Cl ) c c c c 2 s 1
C = C ( C ) C # N . C C O . C C O C C >,C C O C ( C C ( C ) C # N ) ( C C ( C ) C # N ) C ( C ) = O
O C C N ( C C O ) C C O > A_O,O C C N ( C C O ) C C O
Cl C c 1 c n c c n 1 . O C C O > A_[Na],O C C O C c 1 c n c c n 1
C C N = C = S . N C C N C c 1 n c c s 1 >,C C N C ( = S ) N C C N C c 1 n c c s 1
C N = C = O . N C C S C c 1 c n c c n 1 >,C N C ( = O ) N C C S C c 1 c n c c n 1
C N = C = O . N C C N C c 1 n c c s 1 >,C N C ( = O ) N C C N C c 1 n c c s 1
C O . C [O-] . N # C C C N . [Na+] >,N # C C ( C N C = O ) C ( = O ) [Na]
Cl Cl . O = c 1 c c [nH] c ( = O ) [nH] 1 > A_Cl,O = c 1 [nH] c c ( Cl ) c ( = O ) [nH] 1
O = C N C C C C C C N C = O >,[C-] # [N+] C C C C C C [N+] # [C-]
C C C C O . C C C C P ( C C C C ) C C C C >,C C C C C ( C C ) C O
C C ( = O ) N c 1 c c c c c 1 F . Cl Cl >,C C ( = O ) N c 1 c c c ( Cl ) c c 1 F
C C ( C ) N . O = C 1 C C C C C 1 >,C C ( C ) N = C 1 C C C C C 1
C C ( = O ) C ( C ) Cl . C C ( S ) C ( C ) S >,C C 1 = C ( C ) S C ( C ) C ( C ) S 1
C C O . C N C . O = C ( [O-] ) C c 1 c c c c n 1 >,C O C ( C ( = O ) N ( C ) C ) c 1 c c c c n 1
C C C C = O . N > A_[H][H],C C C C = N C C C C
C N ( C ) C C C N . O = C O > A_O A_Cc1ccccc1,C N ( C ) C C C N C = O
C 1 = C C C C C C C 1 . C = C >,C = C C C C C C C C = C
N # C C = C c 1 c c c s 1 . N O > A_CO,N C ( C = C c 1 c c c s 1 ) = N O
C C C C C C C C C C 1 C O 1 . N C C C N > A_CO,C C C C C C C C C C ( O ) C N C C C N C C ( O ) C C C C C C C C C
C C ( C N ) C C N . C C C C C C C C C C 1 C O 1 >,C C C C C C C C C C ( O ) C N C C C ( C ) C N C C ( O ) C C C C C C C C C
Br C C C C C C Br . C C ( C ) C C O C C C C O >,C C ( C ) C C O C C C C O C C C C C C Br
Cl . N c 1 c c c c n 1 . [Br-] > A_O A_[K+],N c 1 n c c ( Cl ) c c 1 Br
C c 1 c c c ( O ) c n 1 . O = [N+] ( [O-] ) O >,C c 1 c c c ( O ) c ( [N+] ( = O ) [O-] ) n 1
Cl C c 1 c c [nH] n 1 . O C C O > A_[Na],O C C O C c 1 c c [nH] n 1
C = C C ( = O ) O C . N C c 1 c c c o 1 >,C O C ( = O ) C C N ( C C C ( = O ) O C ) C c 1 c c c o 1
C C ( C ) ( C ) O C ( = O ) C Cl . C C C C N >,C C C C N C C ( = O ) O C ( C ) ( C ) C
C C ( = O ) O . C C O . N N c 1 c c c c c 1 >,O c 1 c c c ( - c 2 c c 3 c c c c c 3 [nH] 2 ) c c 1
C C ( C ) c 1 c c c ( C C C ( = O ) O ) c c 1 >,C C ( C ) c 1 c c c ( C C C ( = O ) C C c 2 c c c ( C ( C ) C ) c c 2 ) c c 1
Cl C C C I . O = C C c 1 c c c c c 1 >,O = C ( C C C Cl ) C c 1 c c c c c 1
C c 1 c c c c ( N ) c 1 . O C 1 C C C C C 1 > A_O,C c 1 c c c c ( N C 2 C C C C C 2 ) c 1
